shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
shape-2214,42.792991,-77.824396,245,5.835237456008007
shape-2214,42.793142,-77.824415,246,5.85209933843678
shape-2214,42.793251,-77.824409,247,5.864229488231463
shape-2214,42.793411,-77.824401,248,5.882032675561747
shape-2214,42.793821,-77.824216,249,5.9300567515484355
shape-2214,42.793859,-77.824198,250,5.934530144721357
shape-2214,42.795011,-77.823666,251,6.069781974597462
shape-2214,42.795029,-77.82366,252,6.0718424893168255
shape-2214,42.795289,-77.823572,253,6.101631511327458
shape-2214,42.795346,-77.823574,254,6.1079717325195135
shape-2214,42.795379,-77.823631,255,6.113895825430215
shape-2214,42.79541,-77.823676,256,6.11893204331674
shape-2214,42.795444,-77.823756,257,6.126475309658874
shape-2214,42.795495,-77.823964,258,6.14436908463201
shape-2214,42.795527,-77.824115,259,6.1571931710652406
shape-2214,42.795653,-77.824777,260,6.21299521792634
shape-2214,42.7958,-77.824725,261,6.229882574740549
shape-2214,42.795877,-77.824663,262,6.239827378935308
shape-2214,42.795995,-77.824515,263,6.257659473470169
shape-2214,42.796117,-77.824393,264,6.274485597797054
shape-2214,42.796138,-77.824354,265,6.27843254982212
shape-2214,42.796181,-77.824285,266,6.285818824367009
shape-2214,42.796226,-77.824198,267,6.294503683711071
shape-2214,42.796267,-77.824101,268,6.303637289690424
shape-2214,42.796294,-77.824011,269,6.3115706033998995
shape-2214,42.796299,-77.823948,270,6.316740882307657
shape-2214,42.796299,-77.823859,271,6.324002574447735
shape-2214,42.796247,-77.8235,272,6.353859374604056
shape-2214,42.796202,-77.823192,273,6.379483071406567
shape-2214,42.796197,-77.823132,274,6.384410071430351
shape-2214,42.796196,-77.823066,275,6.389796303316287
shape-2214,42.7962,-77.823,276,6.395199724248464
shape-2214,42.796206,-77.822939,277,6.400221363977523
shape-2214,42.796188,-77.822845,278,6.408147889762176
shape-2214,42.796154,-77.82276,279,6.416046757182164
shape-2214,42.796372,-77.822522,280,6.44710634161101
shape-2214,42.79641,-77.822497,281,6.451798345295808
shape-2214,42.79646,-77.822482,282,6.457491213966389
shape-2214,42.79672,-77.82242,283,6.486841177683414
shape-2214,42.796785,-77.822404,284,6.494185809401164
shape-2214,42.79691,-77.822379,285,6.508234072353852
shape-2214,42.79695,-77.822383,286,6.512693834103945
shape-2214,42.796987,-77.822399,287,6.517010200408924
shape-2214,42.797021,-77.822428,288,6.521470224962742
shape-2214,42.797049,-77.822466,289,6.5258641421849335
shape-2214,42.797069,-77.822512,290,6.530226728653878
shape-2214,42.79708,-77.822564,291,6.534642254876912
shape-2214,42.797082,-77.822618,292,6.539053778753674
shape-2214,42.797076,-77.822659,293,6.542464891770812
shape-2214,42.797075,-77.822671,294,6.5434502780033315
shape-2214,42.797044,-77.822758,295,6.551341394453391
shape-2214,42.797103,-77.822794,296,6.558529433117191
shape-2214,42.797152,-77.822856,297,6.565964258986821
shape-2214,42.797187,-77.82291,298,6.571842894830763
shape-2214,42.797217,-77.822991,299,6.579245930496986
shape-2214,42.797235,-77.823083,300,6.587014548611264
shape-2214,42.797259,-77.823267,301,6.60226260502213
shape-2214,42.797289,-77.823391,302,6.612915621084317
shape-2214,42.79732,-77.82346,303,6.619516858503806
shape-2214,42.797353,-77.823518,304,6.625505101680286
shape-2214,42.797427,-77.823592,305,6.635711034515999
shape-2214,42.797525,-77.82364,306,6.647290541014
shape-2214,42.797627,-77.823642,307,6.658633615148068
shape-2214,42.797981,-77.823542,308,6.69883337053195
shape-2214,42.798684,-77.823343,309,6.77867189642651
shape-2214,42.798969,-77.823272,310,6.810887589621454
shape-2214,42.799164,-77.823217,311,6.833030101791553
shape-2214,42.799383,-77.823156,312,6.85788519998582
shape-2214,42.799494,-77.823143,313,6.870273344559341
shape-2214,42.799611,-77.823147,314,6.8832872640042195
shape-2214,42.799919,-77.823201,315,6.9178175717040995
shape-2214,42.800017,-77.82321,316,6.928739402902739
shape-2214,42.800112,-77.823198,317,6.939348210213858
shape-2214,42.800323,-77.823139,318,6.963299081682576
shape-2214,42.800342,-77.823133,319,6.965467758867016
shape-2214,42.800498,-77.823088,320,6.983198466538339
shape-2214,42.800628,-77.823043,321,6.998112775832673
shape-2214,42.800651,-77.823031,322,7.000851252175067
shape-2214,42.800849,-77.822927,323,7.024446306446584
shape-2214,42.80095,-77.822866,324,7.036730309400565
shape-2214,42.801029,-77.82282,325,7.046282824390814
shape-2214,42.801189,-77.822736,326,7.065348335452828
shape-2214,42.801274,-77.822701,327,7.075221849441918
shape-2214,42.801361,-77.822674,328,7.085143448405732
shape-2214,42.801421,-77.822656,329,7.091974865522099
shape-2214,42.801588,-77.822634,330,7.1106309890364265
shape-2214,42.801824,-77.822596,331,7.137055528263309
shape-2214,42.802153,-77.822468,332,7.17510000473506
