osmid,y,x,street_count,highway,ref,railway,junction,geometry
2206641144,12.3116602,107.5139321,3,,,,,POINT (107.5139321 12.3116602)
2206641154,12.3118222,107.5396513,3,,,,,POINT (107.5396513 12.3118222)
2206641170,12.3120713,107.5085593,3,,,,,POINT (107.5085593 12.3120713)
2206641243,12.3128482,107.4925196,3,,,,,POINT (107.4925196 12.3128482)
2206641245,12.3128468,107.5361984,3,,,,,POINT (107.5361984 12.3128468)
2206641316,12.3141232,107.5307435,3,,,,,POINT (107.5307435 12.3141232)
2206641327,12.3144204,107.5349414,3,,,,,POINT (107.5349414 12.3144204)
2206641400,12.3148706,107.5334882,3,,,,,POINT (107.5334882 12.3148706)
2206641411,12.3160351,107.5800255,3,,,,,POINT (107.5800255 12.3160351)
2206641420,12.3182353,107.5011042,3,,,,,POINT (107.5011042 12.3182353)
2206641531,12.3229508,107.5528249,3,,,,,POINT (107.5528249 12.3229508)
2206641829,12.3249586,107.5564878,3,,,,,POINT (107.5564878 12.3249586)
2643216474,11.9853976,107.6106106,3,,,,,POINT (107.6106106 11.9853976)
2643216485,11.9822336,107.6079756,3,,,,,POINT (107.6079756 11.9822336)
2643216494,11.9817677,107.6072002,3,,,,,POINT (107.6072002 11.9817677)
2643216537,11.983687,107.5968495,3,,,,,POINT (107.5968495 11.983687)
2643216562,11.9806412,107.5849665,3,,,,,POINT (107.5849665 11.9806412)
2643216570,11.9803864,107.5821568,3,,,,,POINT (107.5821568 11.9803864)
2643216594,11.9804114,107.5758755,3,,,,,POINT (107.5758755 11.9804114)
2643216642,11.9866319,107.568046,3,,,,,POINT (107.568046 11.9866319)
2643216650,11.9875078,107.5669312,3,,,,,POINT (107.5669312 11.9875078)
2643216651,11.9875598,107.5668206,3,,,,,POINT (107.5668206 11.9875598)
2643216674,11.9915198,107.5598603,3,,,,,POINT (107.5598603 11.9915198)
3163954469,12.1813631,107.5762069,3,,,,,POINT (107.5762069 12.1813631)
3163954470,12.1834706,107.5771017,3,,,,,POINT (107.5771017 12.1834706)
3163954472,12.1789891,107.5752654,3,,,,,POINT (107.5752654 12.1789891)
3163954477,12.1987475,107.6303263,3,,,,,POINT (107.6303263 12.1987475)
3163970244,12.1989138,107.5791188,3,,,,,POINT (107.5791188 12.1989138)
3163970245,12.1990331,107.5789659,3,,,,,POINT (107.5789659 12.1990331)
3163972782,12.1977571,107.5762189,3,,,,,POINT (107.5762189 12.1977571)
3163972800,12.2001997,107.5687265,3,,,,,POINT (107.5687265 12.2001997)
3163972804,12.2006721,107.5833109,3,,,,,POINT (107.5833109 12.2006721)
3163972805,12.1993332,107.5769002,3,,,,,POINT (107.5769002 12.1993332)
3163972835,12.2014022,107.5753716,1,,,,,POINT (107.5753716 12.2014022)
3242100596,12.2583181,107.6009593,3,,,,,POINT (107.6009593 12.2583181)
3242100600,12.2642053,107.5726357,3,,,,,POINT (107.5726357 12.2642053)
3242100616,12.2456117,107.5210194,3,,,,,POINT (107.5210194 12.2456117)
3247266147,12.1350324,107.472564,3,,,,,POINT (107.472564 12.1350324)
3348281115,12.2079229,107.4827525,4,,,,,POINT (107.4827525 12.2079229)
3348281147,12.2114641,107.4752641,3,,,,,POINT (107.4752641 12.2114641)
3348281173,12.2128174,107.4761724,3,,,,,POINT (107.4761724 12.2128174)
3348281174,12.2127492,107.4879357,3,,,,,POINT (107.4879357 12.2127492)
3348281595,12.214783,107.4761349,4,,,,,POINT (107.4761349 12.214783)
3348281609,12.2160138,107.469813,3,,,,,POINT (107.469813 12.2160138)
3348281736,12.2316914,107.5010036,3,,,,,POINT (107.5010036 12.2316914)
4458985389,12.0011491,107.5110401,3,,,,,POINT (107.5110401 12.0011491)
4458985405,12.0015578,107.5147588,4,,,,,POINT (107.5147588 12.0015578)
4458985430,11.999367,107.5192569,4,,,,,POINT (107.5192569 11.999367)
4458987551,12.0015446,107.514679,4,,,,,POINT (107.514679 12.0015446)
4458988998,12.0019544,107.5149358,3,,,,,POINT (107.5149358 12.0019544)
4458989006,12.0038052,107.5154114,3,,,,,POINT (107.5154114 12.0038052)
4458991157,12.0049935,107.5220254,1,,,,,POINT (107.5220254 12.0049935)
4458994528,11.9967009,107.5130602,4,,,,,POINT (107.5130602 11.9967009)
4458999065,12.0012171,107.5110377,3,,,,,POINT (107.5110377 12.0012171)
4458999905,11.9993306,107.5194002,3,,,,,POINT (107.5194002 11.9993306)
4459005189,12.0016082,107.5147224,4,,,,,POINT (107.5147224 12.0016082)
4459005404,12.0016174,107.5147901,4,,,,,POINT (107.5147901 12.0016174)
4459052410,11.9966879,107.5129865,4,,,,,POINT (107.5129865 11.9966879)
4459103410,12.0041495,107.5138367,3,,,,,POINT (107.5138367 12.0041495)
4459103416,12.0014178,107.5133477,3,,,,,POINT (107.5133477 12.0014178)
4459106808,11.9977208,107.5043041,3,,,,,POINT (107.5043041 11.9977208)
4459108667,11.9955912,107.5066807,3,,,,,POINT (107.5066807 11.9955912)
4459113319,11.9983589,107.5015387,3,,,,,POINT (107.5015387 11.9983589)
4459113322,11.9988207,107.5013831,3,,,,,POINT (107.5013831 11.9988207)
4459118977,12.0068937,107.510127,3,,,,,POINT (107.510127 12.0068937)
4741878662,12.2720379,107.5544998,3,,,,,POINT (107.5544998 12.2720379)
4741878685,12.279796,107.5571339,3,,,,,POINT (107.5571339 12.279796)
4741878697,12.280568,107.5569972,3,,,,,POINT (107.5569972 12.280568)
4741878706,12.2810699,107.5570589,3,,,,,POINT (107.5570589 12.2810699)
4741878758,12.285178,107.5474285,3,,,,,POINT (107.5474285 12.285178)
