osmid,y,x,street_count,junction,highway,ref,railway,geometry
2395787402,20.9506962,107.0297462,3,,,,,POINT (107.0297462 20.9506962)
2395787408,20.9503413,107.0328647,3,,,,,POINT (107.0328647 20.9503413)
2395787410,20.950792,107.0337045,3,,,,,POINT (107.0337045 20.950792)
2395787412,20.9507442,107.0298438,3,,,,,POINT (107.0298438 20.9507442)
2395787413,20.9504666,107.0333766,3,,,,,POINT (107.0333766 20.9504666)
2395798353,20.9489213,107.0315409,1,,,,,POINT (107.0315409 20.9489213)
2395798393,20.9498076,107.0325835,3,,,,,POINT (107.0325835 20.9498076)
2395800319,20.9553609,107.0471132,3,,,,,POINT (107.0471132 20.9553609)
2395800324,20.9540005,107.0445423,1,,,,,POINT (107.0445423 20.9540005)
2395800326,20.9560294,107.0464977,3,,,,,POINT (107.0464977 20.9560294)
2395800328,20.9567051,107.0459762,3,,,,,POINT (107.0459762 20.9567051)
2395800334,20.9535746,107.0441078,3,,,,,POINT (107.0441078 20.9535746)
2395800335,20.9531639,107.0435231,3,,,,,POINT (107.0435231 20.9531639)
2395800337,20.9563385,107.0460167,3,,,,,POINT (107.0460167 20.9563385)
2395800342,20.9546167,107.0458727,1,,,,,POINT (107.0458727 20.9546167)
2395800344,20.9556247,107.0469216,3,,,,,POINT (107.0469216 20.9556247)
2395813617,20.9605981,107.0467095,3,,,,,POINT (107.0467095 20.9605981)
2395813640,20.9640622,107.0460914,1,,,,,POINT (107.0460914 20.9640622)
2395813651,20.9605304,107.0472192,3,,,,,POINT (107.0472192 20.9605304)
2395813683,20.9636494,107.051111,3,,,,,POINT (107.051111 20.9636494)
2395813687,20.9655369,107.0510623,3,,,,,POINT (107.0510623 20.9655369)
2395813689,20.962151,107.0482936,3,,,,,POINT (107.0482936 20.962151)
2395813695,20.9591955,107.0475939,3,,,,,POINT (107.0475939 20.9591955)
2395813731,20.9689062,107.0447138,3,,,,,POINT (107.0447138 20.9689062)
2395813748,20.9608485,107.0461141,1,,,,,POINT (107.0461141 20.9608485)
2395813767,20.9618279,107.0474498,3,,,,,POINT (107.0474498 20.9618279)
2395813773,20.9615073,107.0494588,3,,,,,POINT (107.0494588 20.9615073)
2395813796,20.9596261,107.0471151,3,,,,,POINT (107.0471151 20.9596261)
2395813823,20.9612296,107.0474506,3,,,,,POINT (107.0474506 20.9612296)
2395813826,20.9605112,107.0475213,3,,,,,POINT (107.0475213 20.9605112)
2395813859,20.9606982,107.0464467,1,,,,,POINT (107.0464467 20.9606982)
2395813869,20.9690891,107.0383025,3,,,,,POINT (107.0383025 20.9690891)
2395813885,20.9681733,107.0443681,4,,,,,POINT (107.0443681 20.9681733)
2395813894,20.9650702,107.0511387,3,,,,,POINT (107.0511387 20.9650702)
2395828009,20.9781125,106.9990039,3,,,,,POINT (106.9990039 20.9781125)
2395828011,20.9756375,107.0008848,3,,,,,POINT (107.0008848 20.9756375)
2395828042,20.9712738,107.0446449,3,,,,,POINT (107.0446449 20.9712738)
2395828067,20.9797617,106.9982362,3,,,,,POINT (106.9982362 20.9797617)
2395828071,20.9732125,107.0007876,3,,,,,POINT (107.0007876 20.9732125)
2395828093,20.9753551,107.000754,3,,,,,POINT (107.000754 20.9753551)
2395828115,20.9761659,107.0010642,3,,,,,POINT (107.0010642 20.9761659)
2395859567,20.9586016,107.058987,4,,,,,POINT (107.058987 20.9586016)
2395859579,20.9588894,107.0570188,1,,,,,POINT (107.0570188 20.9588894)
2395859583,20.9591892,107.0580305,3,,,,,POINT (107.0580305 20.9591892)
2395859606,20.9582744,107.0576018,3,,,,,POINT (107.0576018 20.9582744)
2395859608,20.9575272,107.0524763,1,,,,,POINT (107.0524763 20.9575272)
2395859610,20.9585381,107.0526318,4,,,,,POINT (107.0526318 20.9585381)
2395859616,20.9581284,107.0532541,1,,,,,POINT (107.0532541 20.9581284)
2395859620,20.958139,107.0592918,3,,,,,POINT (107.0592918 20.958139)
2395859633,20.9592079,107.0577173,3,,,,,POINT (107.0577173 20.9592079)
2395859636,20.9591804,107.0521276,1,,,,,POINT (107.0521276 20.9591804)
2395867045,20.9631855,107.0583089,3,,,,,POINT (107.0583089 20.9631855)
2395871797,20.9565994,107.0346955,3,,,,,POINT (107.0346955 20.9565994)
2395871821,20.956638,107.0446901,1,,,,,POINT (107.0446901 20.956638)
2395871841,20.9584761,107.0323493,3,,,,,POINT (107.0323493 20.9584761)
2395871846,20.9594959,107.0326309,1,,,,,POINT (107.0326309 20.9594959)
2395871854,20.9591779,107.0326202,3,,,,,POINT (107.0326202 20.9591779)
2395871862,20.9581809,107.0298253,3,,,,,POINT (107.0298253 20.9581809)
2395871868,20.9579496,107.0338176,3,,,,,POINT (107.0338176 20.9579496)
2395871870,20.9596683,107.0241632,3,,,,,POINT (107.0241632 20.9596683)
2395871876,20.9591678,107.0287525,3,,,,,POINT (107.0287525 20.9591678)
2395871896,20.9590802,107.0329366,3,,,,,POINT (107.0329366 20.9590802)
2395871898,20.9610762,107.0235939,3,,,,,POINT (107.0235939 20.9610762)
2395871938,20.9597515,107.0277064,3,,,,,POINT (107.0277064 20.9597515)
2395871957,20.9590689,107.0325813,3,,,,,POINT (107.0325813 20.9590689)
2395871961,20.9594458,107.0281328,3,,,,,POINT (107.0281328 20.9594458)
2395871965,20.96048,107.026173,4,,,,,POINT (107.026173 20.96048)
2395871971,20.9562823,107.0429279,3,,,,,POINT (107.0429279 20.9562823)
2395871982,20.955616,107.0450844,3,,,,,POINT (107.0450844 20.955616)
2395871991,20.9586539,107.0311664,3,,,,,POINT (107.0311664 20.9586539)
2395872004,20.9577852,107.0335831,3,,,,,POINT (107.0335831 20.9577852)
2395872006,20.9565754,107.0427885,3,,,,,POINT (107.0427885 20.9565754)
2395872049,20.9553922,107.0435692,3,,,,,POINT (107.0435692 20.9553922)
2395872051,20.9576412,107.0344629,3,,,,,POINT (107.0344629 20.9576412)
2395872057,20.961152,107.0588965,3,,,,,POINT (107.0588965 20.961152)
2395872061,20.958228,107.032242,3,,,,,POINT (107.032242 20.958228)
2395872069,20.9555126,107.0452487,3,,,,,POINT (107.0452487 20.9555126)
2395872071,20.9586269,107.0337923,3,,,,,POINT (107.0337923 20.9586269)
2395872099,20.9577728,107.0341468,3,,,,,POINT (107.0341468 20.9577728)
2395872103,20.9628821,107.0263605,3,,,,,POINT (107.0263605 20.9628821)
2395872104,20.9587441,107.0324486,4,,,,,POINT (107.0324486 20.9587441)
2395872107,20.9588647,107.0332157,3,,,,,POINT (107.0332157 20.9588647)
2395872125,20.9518248,107.0350427,3,,,,,POINT (107.0350427 20.9518248)
2395884419,20.976231,107.0229694,4,,,,,POINT (107.0229694 20.976231)
2395884422,20.9780398,107.0212616,3,,,,,POINT (107.0212616 20.9780398)
2395884432,20.9777487,107.0193937,3,,,,,POINT (107.0193937 20.9777487)
2395884440,20.976253,107.0230642,4,,,,,POINT (107.0230642 20.976253)
2395884445,20.9766931,107.0226821,5,,,,,POINT (107.0226821 20.9766931)
2395884446,20.9761065,107.0225665,3,,,,,POINT (107.0225665 20.9761065)
2395884452,20.9776057,107.0135679,3,,,,,POINT (107.0135679 20.9776057)
2395884453,20.9776796,107.0132171,3,,,,,POINT (107.0132171 20.9776796)
2395884465,20.9763224,107.0237391,3,,,,,POINT (107.0237391 20.9763224)
2395884486,20.9820642,107.0233263,3,,,,,POINT (107.0233263 20.9820642)
2395885815,20.9830657,107.0275761,1,,,,,POINT (107.0275761 20.9830657)
2395885829,20.9792242,107.0188658,3,,,,,POINT (107.0188658 20.9792242)
2395885832,20.9825199,107.0220431,1,,,,,POINT (107.0220431 20.9825199)
2395885835,20.9799429,107.0204049,3,,,,,POINT (107.0204049 20.9799429)
2395885837,20.9833114,107.0156593,3,,,,,POINT (107.0156593 20.9833114)
2395885855,20.9828458,107.0162223,3,,,,,POINT (107.0162223 20.9828458)
