osmid,y,x,street_count,highway,ref,junction,railway,geometry
8805144186,21.3212307,105.8187079,4,,,,,POINT (105.8187079 21.3212307)
8805144187,21.3198968,105.8185672,3,,,,,POINT (105.8185672 21.3198968)
8805171164,21.172999,105.6706262,3,,,,,POINT (105.6706262 21.172999)
8805171167,21.1714727,105.6708493,4,,,,,POINT (105.6708493 21.1714727)
8805171170,21.1713842,105.6703726,3,,,,,POINT (105.6703726 21.1713842)
8805171173,21.1719057,105.6700844,3,,,,,POINT (105.6700844 21.1719057)
8805171176,21.1714539,105.6689354,3,,,,,POINT (105.6689354 21.1714539)
8805171177,21.17166,105.6693541,3,,,,,POINT (105.6693541 21.17166)
8805171180,21.1719573,105.6692108,1,,,,,POINT (105.6692108 21.1719573)
8805171181,21.1710557,105.6691617,3,,,,,POINT (105.6691617 21.1710557)
8805171183,21.1712818,105.6697862,1,,,,,POINT (105.6697862 21.1712818)
8805171184,21.1734744,105.6687017,3,,,,,POINT (105.6687017 21.1734744)
8805171188,21.1728732,105.6688344,1,,,,,POINT (105.6688344 21.1728732)
8805171194,21.1740457,105.6685593,3,,,,,POINT (105.6685593 21.1740457)
8805171196,21.1741099,105.669024,3,,,,,POINT (105.669024 21.1741099)
8805171197,21.1740948,105.6692017,3,,,,,POINT (105.6692017 21.1740948)
8805171201,21.1745568,105.6686725,1,,,,,POINT (105.6686725 21.1745568)
8805171205,21.1746445,105.6695158,3,,,,,POINT (105.6695158 21.1746445)
8805171206,21.1744168,105.6718791,1,,,,,POINT (105.6718791 21.1744168)
8805171213,21.1740066,105.6707257,3,,,,,POINT (105.6707257 21.1740066)
8805171215,21.1743805,105.6693503,3,,,,,POINT (105.6693503 21.1743805)
8805191819,21.1745436,105.6736632,3,,,,,POINT (105.6736632 21.1745436)
8805191822,21.1745018,105.6737498,1,,,,,POINT (105.6737498 21.1745018)
8805191825,21.1750213,105.6775058,3,,,,,POINT (105.6775058 21.1750213)
8805191827,21.173808,105.6767699,3,,,,,POINT (105.6767699 21.173808)
8805191830,21.1757314,105.6769934,3,,,,,POINT (105.6769934 21.1757314)
8805191833,21.1760609,105.6755617,3,,,,,POINT (105.6755617 21.1760609)
8805191835,21.1758891,105.6759513,3,,,,,POINT (105.6759513 21.1758891)
8805191847,21.1732297,105.6668975,1,,,,,POINT (105.6668975 21.1732297)
8805191851,21.1666966,105.6703433,3,,,,,POINT (105.6703433 21.1666966)
8805191855,21.1662111,105.6676113,3,,,,,POINT (105.6676113 21.1662111)
8805191862,21.1658448,105.6672286,4,,,,,POINT (105.6672286 21.1658448)
8805191863,21.1661853,105.6671735,1,,,,,POINT (105.6671735 21.1661853)
8805191866,21.1652812,105.6673913,3,,,,,POINT (105.6673913 21.1652812)
8805191867,21.1659583,105.6717577,1,,,,,POINT (105.6717577 21.1659583)
8805191868,21.1653657,105.670956,1,,,,,POINT (105.670956 21.1653657)
8805191869,21.1637603,105.6716537,3,,,,,POINT (105.6716537 21.1637603)
8805191870,21.1649313,105.6711448,3,,,,,POINT (105.6711448 21.1649313)
8805191874,21.1655883,105.6722509,3,,,,,POINT (105.6722509 21.1655883)
8805191876,21.1640932,105.6720292,3,,,,,POINT (105.6720292 21.1640932)
8805191877,21.1645343,105.6717986,1,,,,,POINT (105.6717986 21.1645343)
8805191878,21.1652095,105.6743851,1,,,,,POINT (105.6743851 21.1652095)
8805191879,21.1652881,105.6739926,1,,,,,POINT (105.6739926 21.1652881)
8805191885,21.1643118,105.6761254,3,,,,,POINT (105.6761254 21.1643118)
8805191886,21.1652613,105.6746089,3,,,,,POINT (105.6746089 21.1652613)
8805191889,21.1645243,105.6746669,3,,,,,POINT (105.6746669 21.1645243)
8805191890,21.1643127,105.6742476,3,,,,,POINT (105.6742476 21.1643127)
8805191893,21.16489,105.6807205,3,,,,,POINT (105.6807205 21.16489)
8805191899,21.1635422,105.6670405,3,,,,,POINT (105.6670405 21.1635422)
8805191900,21.1637127,105.6672055,3,,,,,POINT (105.6672055 21.1637127)
8805191901,21.1641217,105.6676347,3,,,,,POINT (105.6676347 21.1641217)
8805191902,21.1642681,105.6678049,3,,,,,POINT (105.6678049 21.1642681)
8805191908,21.163648,105.66957,3,,,,,POINT (105.66957 21.163648)
8805191909,21.1638952,105.6699001,1,,,,,POINT (105.6699001 21.1638952)
8805191910,21.1631624,105.6689869,1,,,,,POINT (105.6689869 21.1631624)
8805191912,21.1636075,105.669534,3,,,,,POINT (105.669534 21.1636075)
8805191914,21.1655824,105.6704752,3,,,,,POINT (105.6704752 21.1655824)
8805191916,21.1676887,105.6758621,3,,,,,POINT (105.6758621 21.1676887)
8805191922,21.1680827,105.6784254,3,,,,,POINT (105.6784254 21.1680827)
8805191923,21.1679656,105.6789735,3,,,,,POINT (105.6789735 21.1679656)
8805191924,21.1687134,105.679714,3,,,,,POINT (105.679714 21.1687134)
8805191927,21.1690848,105.67812,3,,,,,POINT (105.67812 21.1690848)
8805191935,21.1717121,105.6767127,3,,,,,POINT (105.6767127 21.1717121)
8805191938,21.1719286,105.6760778,3,,,,,POINT (105.6760778 21.1719286)
8805191940,21.1692701,105.6850361,3,,,,,POINT (105.6850361 21.1692701)
8805191950,21.1693017,105.6859619,4,,,,,POINT (105.6859619 21.1693017)
8805191951,21.1699453,105.685889,1,,,,,POINT (105.685889 21.1699453)
8805191952,21.1688248,105.685995,3,,,,,POINT (105.685995 21.1688248)
8805191961,21.1737522,105.670699,3,,,,,POINT (105.670699 21.1737522)
8805191962,21.1735096,105.6706938,1,,,,,POINT (105.6706938 21.1735096)
8805242367,21.1653015,105.6802116,1,,,,,POINT (105.6802116 21.1653015)
8805242369,21.1710084,105.6698702,1,,,,,POINT (105.6698702 21.1710084)
8805242372,21.1734897,105.6712967,1,,,,,POINT (105.6712967 21.1734897)
8805242375,21.1695126,105.6884163,1,,,,,POINT (105.6884163 21.1695126)
8805243521,21.3200207,105.8224357,3,,,,,POINT (105.8224357 21.3200207)
8805243529,21.3190878,105.8239955,3,,,,,POINT (105.8239955 21.3190878)
8805243538,21.313254,105.8184855,3,,,,,POINT (105.8184855 21.313254)
8805243540,21.3132095,105.818312,3,,,,,POINT (105.818312 21.3132095)
8805243552,21.3161542,105.8159176,3,,,,,POINT (105.8159176 21.3161542)
8805243571,21.3154594,105.820347,3,,,,,POINT (105.820347 21.3154594)
8805243576,21.3142332,105.8204496,3,,,,,POINT (105.8204496 21.3142332)
8805243578,21.3133762,105.8182112,3,,,,,POINT (105.8182112 21.3133762)
8805262410,21.169321,105.6871415,3,,,,,POINT (105.6871415 21.169321)
8805284118,21.1716282,105.6750893,1,,,,,POINT (105.6750893 21.1716282)
8805284124,21.1725067,105.6749752,3,,,,,POINT (105.6749752 21.1725067)
8805284130,21.1711499,105.6772488,3,,,,,POINT (105.6772488 21.1711499)
8805284138,21.1717056,105.6771133,3,,,,,POINT (105.6771133 21.1717056)
8805284157,21.1716869,105.6776991,3,,,,,POINT (105.6776991 21.1716869)
8805284180,21.1698971,105.6849178,1,,,,,POINT (105.6849178 21.1698971)
8805284192,21.1684436,105.6883804,3,,,,,POINT (105.6883804 21.1684436)
8805284199,21.1682416,105.6892824,3,,,,,POINT (105.6892824 21.1682416)
8805284200,21.1648073,105.6794952,1,,,,,POINT (105.6794952 21.1648073)
8805284201,21.1648381,105.6800694,3,,,,,POINT (105.6800694 21.1648381)
8805284214,21.1634464,105.6739888,1,,,,,POINT (105.6739888 21.1634464)
8805284216,21.1640416,105.6736961,3,,,,,POINT (105.6736961 21.1640416)
8805284217,21.164859,105.6739906,1,,,,,POINT (105.6739906 21.164859)
