vehicle_id,brand,model,engine_type,cc_battery,horsepower,top_speed_kmh,accel_0_100,torque,fuel_type,seats,color,price_usd,vehicle_category,vehicle_type
CAR_0084,Lamborghini,Huracan Evo Spyder,V10,"5,204 cc",640.0,325.0,3.1 sec,600 Nm,Petrol,2.0,Grey,287000.0,Ultra-Luxury,car
CAR_0085,Lamborghini,Urus Performante,V8,"3,996 cc",641.0,305.0,3.3 sec,850 Nm,Petrol,5.0,Yellow,242000.0,Ultra-Luxury,car
CAR_0086,Lamborghini,Urus Performante,V8,"3,996 cc",641.0,305.0,3.3 sec,850 Nm,Petrol,5.0,Grey,242000.0,Ultra-Luxury,car
CAR_0087,Lamborghini,Urus Performante,V8,"3,996 cc",641.0,305.0,3.3 sec,850 Nm,Petrol,5.0,Silver,242000.0,Ultra-Luxury,car
CAR_0088,Lamborghini,Aventador Ultimae,V12,"6,498 cc",769.0,355.0,2.8 sec,720 Nm,Petrol,2.0,Brown,545000.0,Ultra-Luxury,car
CAR_0089,Lamborghini,Huracan Evo Rwd,V10,"5,204 cc",610.0,325.0,3.3 sec,560 Nm,Petrol,2.0,Grey,258000.0,Ultra-Luxury,car
CAR_0090,Lamborghini,Aventador Svj Roadster,V12,"6,498 cc",759.0,350.0,2.9 sec,720 Nm,Petrol,2.0,Blue,573000.0,Ultra-Luxury,car
CAR_0091,Lamborghini,Urus S,V8,"3,996 cc",671.0,305.0,3.3 sec,850 Nm,Petrol,5.0,White,263000.0,Ultra-Luxury,car
CAR_0092,Lamborghini,Huracan Sto,V10,"5,204 cc",640.0,325.0,3.0 sec,565 Nm,Petrol,2.0,Green,327000.0,Ultra-Luxury,car
CAR_0093,Lamborghini,Aventador Lp 780-4 Ultimate,V12,"6,498 cc",769.0,355.0,2.8 sec,720 Nm,Petrol,2.0,White,545000.0,Ultra-Luxury,car
CAR_0094,Lamborghini,Aventador Lp 780-4 Ultimate,V12,"6,498 cc",769.0,355.0,2.8 sec,720 Nm,Petrol,2.0,Grey,545000.0,Ultra-Luxury,car
CAR_0095,Lamborghini,Aventador Lp 780-4 Ultimate,V12,"6,498 cc",769.0,355.0,2.8 sec,720 Nm,Petrol,2.0,Orange,545000.0,Ultra-Luxury,car
CAR_0096,Lamborghini,Huracan Evo Rwd Spyder,V10,"5,204 cc",610.0,325.0,3.3 sec,600 Nm,Petrol,2.0,Orange,273000.0,Ultra-Luxury,car
CAR_0097,Lamborghini,Aventador Svj Xago,V12,"6,498 cc",759.0,350.0,2.9 sec,720 Nm,Petrol,2.0,Green,603000.0,Ultra-Luxury,car
CAR_0098,Lamborghini,Urus Graphite Capsule,V8,"3,998 cc",641.0,305.0,3.3 sec,850 Nm,Petrol,5.0,Yellow,253000.0,Ultra-Luxury,car
CAR_0099,Lamborghini,Urus Graphite Capsule,V8,"3,998 cc",641.0,305.0,3.3 sec,850 Nm,Petrol,5.0,Grey,253000.0,Ultra-Luxury,car
CAR_0100,Lamborghini,Urus Graphite Capsule,V8,"3,998 cc",641.0,305.0,3.3 sec,850 Nm,Petrol,5.0,White,253000.0,Ultra-Luxury,car
CAR_0101,Lamborghini,Huracan Sto Evo,V10,"5,204 cc",640.0,325.0,3.0 sec,565 Nm,Petrol,2.0,Orange,342000.0,Ultra-Luxury,car
CAR_0102,Lamborghini,Aventador Lp 780-4 Ultimate Roadster,V12,"6,498 cc",769.0,355.0,2.8 sec,720 Nm,Petrol,2.0,Black,573000.0,Ultra-Luxury,car
CAR_0103,Rolls Royce,Ghost,V12,"6,592 cc",591.0,250.0,4.8 sec,850 Nm,Petrol,5.0,Yellow,332000.0,Ultra-Luxury,car
CAR_0104,Rolls Royce,Wraith,V12,"6,592 cc",624.0,250.0,4.4 sec,870 Nm,Petrol,4.0,Green,330000.0,Ultra-Luxury,car
CAR_0105,Rolls Royce,Dawn,V12,"6,592 cc",624.0,250.0,4.9 sec,870 Nm,Petrol,4.0,Red,360000.0,Ultra-Luxury,car
CAR_0106,Rolls Royce,Cullinan,V12,"6,749 cc",563.0,250.0,5.2 sec,850 Nm,Petrol,5.0,Yellow,325000.0,Ultra-Luxury,car
CAR_0107,Rolls Royce,Phantom Extended,V12,"6,749 cc",563.0,250.0,5.3 sec,900 Nm,Petrol,5.0,Brown,500000.0,Ultra-Luxury,car
CAR_0108,Rolls Royce,Ghost Extended,V12,"6,592 cc",591.0,250.0,4.8 sec,850 Nm,Petrol,5.0,Black,370000.0,Ultra-Luxury,car
CAR_0109,Rolls Royce,Wraith Black Badge,V12,"6,592 cc",624.0,250.0,4.3 sec,870 Nm,Petrol,4.0,Orange,360000.0,Ultra-Luxury,car
CAR_0110,Rolls Royce,Dawn Black Badge,V12,"6,592 cc",624.0,250.0,4.8 sec,870 Nm,Petrol,4.0,White,390000.0,Ultra-Luxury,car
CAR_0111,Rolls Royce,Cullinan Black Badge,V12,"6,749 cc",563.0,250.0,5.1 sec,850 Nm,Petrol,5.0,Green,350000.0,Ultra-Luxury,car
CAR_0112,Rolls Royce,Phantom Coupe,V12,"6,749 cc",563.0,250.0,5.3 sec,870 Nm,Petrol,4.0,Grey,450000.0,Ultra-Luxury,car
CAR_0113,Rolls Royce,Ghost Coupe,V12,"6,592 cc",591.0,250.0,4.8 sec,850 Nm,Petrol,4.0,Brown,340000.0,Ultra-Luxury,car
CAR_0114,Rolls Royce,Wraith Coupe,V12,"6,592 cc",624.0,250.0,4.4 sec,870 Nm,Petrol,4.0,Grey,330000.0,Ultra-Luxury,car
CAR_0115,Rolls Royce,Wraith Coupe,V12,"6,592 cc",624.0,250.0,4.4 sec,870 Nm,Petrol,4.0,Red,330000.0,Ultra-Luxury,car
CAR_0116,Rolls Royce,Wraith Coupe,V12,"6,592 cc",624.0,250.0,4.4 sec,870 Nm,Petrol,4.0,Green,330000.0,Ultra-Luxury,car
CAR_0117,Rolls Royce,Dawn Convertible,V12,"6,592 cc",624.0,250.0,4.9 sec,870 Nm,Petrol,4.0,Red,380000.0,Ultra-Luxury,car
CAR_0118,Rolls Royce,Cullinan Suv,V12,"6,749 cc",563.0,250.0,5.2 sec,850 Nm,Petrol,5.0,White,320000.0,Ultra-Luxury,car
CAR_0119,Rolls Royce,Cullinan Suv,V12,"6,749 cc",563.0,250.0,5.2 sec,850 Nm,Petrol,5.0,Black,320000.0,Ultra-Luxury,car
CAR_0120,Rolls Royce,Cullinan Suv,V12,"6,749 cc",563.0,250.0,5.2 sec,850 Nm,Petrol,5.0,Yellow,320000.0,Ultra-Luxury,car
CAR_0121,Mercedes,Benz S-Class S 580,V8,"3,982 cc",496.0,250.0,4.4 sec,700 Nm,Petrol,5.0,Brown,116000.0,Luxury,car
CAR_0122,Mercedes,Benz E-Class E 63 S,V8,"3,982 cc",603.0,250.0,3.4 sec,850 Nm,Petrol,5.0,Red,104000.0,Luxury,car
CAR_0123,Mercedes,Benz Cla 45 Amg,I4,1991 cc,382.0,250.0,4.1 sec,500 Nm,Petrol,5.0,Red,53000.0,Mid-Range,car
CAR_0124,Mercedes,Benz Cla 45 Amg,I4,1991 cc,382.0,250.0,4.1 sec,500 Nm,Petrol,5.0,Silver,53000.0,Mid-Range,car
CAR_0125,Mercedes,Benz Cla 45 Amg,I4,1991 cc,382.0,250.0,4.1 sec,500 Nm,Petrol,5.0,Yellow,53000.0,Mid-Range,car
CAR_0126,Mercedes,Benz Gle 63 S,V8,"3,982 cc",603.0,250.0,4.2 sec,850 Nm,Petrol,5.0,Red,113000.0,Luxury,car
CAR_0127,Mercedes,Benz S-Class S 500,V6,"2,996 cc",429.0,250.0,4.9 sec,700 Nm,Petrol,5.0,White,109000.0,Luxury,car
CAR_0128,Mercedes,Benz S-Class S 500,V6,"2,996 cc",429.0,250.0,4.9 sec,700 Nm,Petrol,5.0,Silver,109000.0,Luxury,car
CAR_0129,Mercedes,Benz S-Class S 500,V6,"2,996 cc",429.0,250.0,4.9 sec,700 Nm,Petrol,5.0,Red,109000.0,Luxury,car
CAR_0130,Mercedes,Benz E-Class E 450,V6,"2,996 cc",362.0,250.0,5.2 sec,500 Nm,Petrol,5.0,White,62000.0,Mid-Range,car
CAR_0131,Mercedes,Benz Cls 450,V6,"2,996 cc",362.0,250.0,5.2 sec,500 Nm,Petrol,5.0,Silver,70000.0,Luxury,car
CAR_0132,Mercedes,Benz Gt 53,V6,"2,996 cc",429.0,250.0,4.5 sec,700 Nm,Petrol,5.0,Grey,99000.0,Luxury,car
CAR_0133,Mercedes,Benz Gt 53,V6,"2,996 cc",429.0,250.0,4.5 sec,700 Nm,Petrol,5.0,Red,99000.0,Luxury,car
CAR_0134,Mercedes,Benz Gt 53,V6,"2,996 cc",429.0,250.0,4.5 sec,700 Nm,Petrol,5.0,Yellow,99000.0,Luxury,car
CAR_0135,Mercedes,Benz Gle 450,V6,"2,996 cc",362.0,250.0,5.5 sec,500 Nm,Petrol,5.0,Black,63000.0,Mid-Range,car
CAR_0136,Mercedes,Benz Gle 450,V6,"2,996 cc",362.0,250.0,5.5 sec,500 Nm,Petrol,5.0,White,63000.0,Mid-Range,car
CAR_0137,Mercedes,Benz Gle 450,V6,"2,996 cc",362.0,250.0,5.5 sec,500 Nm,Petrol,5.0,Green,63000.0,Mid-Range,car
CAR_0138,Mercedes,Benz A-Class A 45 S,I4,"1,991 cc",416.0,250.0,3.9 sec,500 Nm,Petrol,5.0,Black,53000.0,Mid-Range,car
CAR_0139,Mercedes,Benz A-Class A 45 S,I4,"1,991 cc",416.0,250.0,3.9 sec,500 Nm,Petrol,5.0,Brown,53000.0,Mid-Range,car
CAR_0140,Mercedes,Benz A-Class A 45 S,I4,"1,991 cc",416.0,250.0,3.9 sec,500 Nm,Petrol,5.0,Blue,53000.0,Mid-Range,car
CAR_0141,Mercedes,Benz C-Class C 43,V6,"2,996 cc",402.0,250.0,4.7 sec,520 Nm,Petrol,5.0,Red,52000.0,Mid-Range,car
