stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
ho chi minh city_stop_8987356873,Trung tâm dạy nghề Vim Hem Pích,,10.933844,106.873385,,
ho chi minh city_stop_8987356877,Vinmart+ 367 Bùi Văn Hòa,,10.930349,106.876198,,
ho chi minh city_stop_8987356879,Cây xăng Quân đội Long Bình,,10.927663,106.878368,,
ho chi minh city_stop_8987356876,Ngã ba Hoàng Tam Kỳ,,10.931884,106.874975,,
ho chi minh city_stop_8987356881,Công ty TNHH một thành viên Nam Thịnh Lộc,,10.925200,106.880329,,
ho chi minh city_stop_8987356883,Trường Mầm non Hoa Phượng,,10.923732,106.881170,,
ho chi minh city_stop_8987356885,Honda Hà Thành,,10.921462,106.882194,,
ho chi minh city_stop_8987356888,Cửa hàng xăng dầu 201,,10.919483,106.883105,,
ho chi minh city_stop_8987356890,Tiệm phở Bắc Hải,,10.915425,106.885047,,
ho chi minh city_stop_8987356892,Khu phố Văn hóa KP7,,10.913586,106.886789,,
ho chi minh city_stop_8987356894,Nhà hàng Quyết Thắng,,10.907438,106.889839,,
ho chi minh city_stop_5755584298,Trường Cao đẳng nghề số 8,,10.902859,106.889783,,
ho chi minh city_stop_8987356900,Cổng 11,,10.895277,106.892098,,
ho chi minh city_stop_8987356904,Chùa Bửu Pháp,,10.887863,106.897754,,
ho chi minh city_stop_8987356906,Chợ Phước Tân,,10.886461,106.899755,,
ho chi minh city_stop_8987356910,Phòng khám Đa khoa Tân Long,,10.876262,106.909116,,
ho chi minh city_stop_8987356908,Đình Phước Tân,,10.883515,106.903702,,
ho chi minh city_stop_8987356916,Trường Cơ bản Phật học,,10.866972,106.921390,,
ho chi minh city_stop_8987385218,Khu công nghiệp Tam Phước,,10.864143,106.923303,,
ho chi minh city_stop_8987385220,Trường Tiểu học Tam Phước 3,,10.856677,106.927095,,
ho chi minh city_stop_8987385224,Ngã ba Thái Lan,,10.852189,106.928567,,
ho chi minh city_stop_8987385226,Trung tâm đăng kiểm xe cơ giới 60-06D,,10.842693,106.929302,,
ho chi minh city_stop_8987507238,Trạm dừng chân Bò Sữa Long Thành,,10.835192,106.934421,,
ho chi minh city_stop_8987507240,Khu công nghiệp Long Thành,,10.829982,106.937160,,
ho chi minh city_stop_8987507242,Khu công nghiệp Long Đức,,10.824497,106.940003,,
ho chi minh city_stop_8987507244,Chợ chiều An Phước,,10.821823,106.941447,,
ho chi minh city_stop_8987507246,Ngã ba Tam An,,10.815722,106.943441,,
ho chi minh city_stop_8987507248,Ngã ba Suối Trầu,,10.812286,106.944457,,
ho chi minh city_stop_8987507255,Điện lực Long Thành,,10.798293,106.944569,,
ho chi minh city_stop_8987507261,Phòng công chứng số 4,,10.789969,106.947079,,
ho chi minh city_stop_8987507263,Bưu điện Long Thành,,10.786951,106.948448,,
ho chi minh city_stop_8987507251,Trường Mầm non Hoa Mai,,10.807780,106.944708,,
ho chi minh city_stop_8987507260,Trung tâm Văn hóa Huyện Long Thành,,10.791934,106.946329,,
ho chi minh city_stop_8989603527,Ngã ba Nhơn Trạch,,10.752477,106.966744,,
ho chi minh city_stop_8989603529,Xăng dầu Hảo Loan,,10.750552,106.966182,,
ho chi minh city_stop_8989603533,Gara ô tô Tuấn Cảnh,,10.742274,106.958535,,
ho chi minh city_stop_8987507266,Chợ cũ Long Thành,,10.784197,106.949903,,
ho chi minh city_stop_8987507267,UBND Thị trấn Long Thành,,10.781160,106.951636,,
ho chi minh city_stop_8987507271,Chợ mới Long Thành,,10.775719,106.954963,,
ho chi minh city_stop_8989603521,Giáo xứ Thái Lạc,,10.768617,106.958292,,
ho chi minh city_stop_8989603523,HĐND Xã Long An,,10.761692,106.960158,,
ho chi minh city_stop_8989603531,Nhà hàng Xê-un,,10.745190,106.961280,,
ho chi minh city_stop_8989603535,Cafe Cát Phượng,,10.737440,106.942852,,
ho chi minh city_stop_8989603538,Công ty Samwoo VN,,10.736568,106.938418,,
ho chi minh city_stop_8989603540,Phòng khám đa khoa Ái Nghĩa,,10.735720,106.934788,,
ho chi minh city_stop_9660014340,Trường Trung học Phổ thông Ngô Quyền,,10.954723,106.825804,,
ho chi minh city_stop_8987507269,Trường Trung học cơ sở Long Thành,,10.779629,106.952596,,
ho chi minh city_stop_8987356912,Bệnh viện Lao phổi,,10.872124,106.912721,,
ho chi minh city_stop_8987356902,Cây xăng Toàn Dung,,10.892076,106.895199,,
ho chi minh city_stop_8987507273,Phật hội Việt Nam - Hưng Lộc Tự,,10.772107,106.956893,,
ho chi minh city_stop_8987385228,Chùa Pháp Hoa Long Thành,,10.838504,106.932398,,
ho chi minh city_stop_8989603525,Chùa Quang Minh,,10.756779,106.962790,,
ho chi minh city_stop_8985418901,Sở tài nguyên Môi trường,,10.961059,106.855278,,
ho chi minh city_stop_8985418904,Đài khí tượng thủy văn,,10.957799,106.857973,,
ho chi minh city_stop_8987356898,Cửa hàng Bách hóa xanh,,10.899701,106.890983,,
ho chi minh city_stop_8981741288,Công viên Thanh Bình,,10.947953,106.815506,,
ho chi minh city_stop_11309193598,Sacombank 30/4,,10.948598,106.820091,,
ho chi minh city_stop_8979998709,Phòng Tư pháp Thành phố Biên Hòa,,10.949884,106.821281,,
ho chi minh city_stop_8987356868,Công viên Long Bình,,10.938569,106.869538,,
ho chi minh city_stop_8987356871,Phòng Cảnh sát Giao thông Long Bình,,10.936327,106.871428,,
ho chi minh city_stop_11873794176,Nhà văn hóa KP7,,10.911663,106.888704,,
ho chi minh city_stop_11870716280,UBND Xã Tam Phước,,10.854282,106.927941,,
ho chi minh city_stop_11870716281,Công ty Tín Nghĩa,,10.734451,106.929443,,
ho chi minh city_stop_11873794178,Công ty Tín Nghĩa,,10.734167,106.929091,,
ho chi minh city_stop_8985136211,Công ty Ajinomoto Việt Nam,,10.911068,106.846870,,
ho chi minh city_stop_8981741283,Khu du lịch Ngọc Hoa Trang,,10.926288,106.835799,,
ho chi minh city_stop_8981741281,Chợ Hiệp Hòa,,10.930253,106.833067,,
ho chi minh city_stop_8981741279,Trường Trung học Phổ thông Nam Hà,,10.933835,106.830467,,
ho chi minh city_stop_8979998706,Trường Trung học Phổ thông Chu Văn An (cũ),,10.938698,106.824872,,
ho chi minh city_stop_8979998707,Công ty Cổ phần Cấp nước Đồng Nai,,10.941318,106.823071,,
ho chi minh city_stop_8981741302,Hẻm 156 Đường Cách mạng Tháng Tám,,10.943425,106.821152,,
ho chi minh city_stop_8980118503,Trường Nguyễn Văn Trỗi,,10.960475,106.843304,,
ho chi minh city_stop_8980118504,Công viên Dương Tử Giang,,10.963562,106.843750,,
ho chi minh city_stop_8980118505,Trường Trung học Phổ thông Bùi Thị Xuân,,10.964853,106.846190,,
ho chi minh city_stop_8980118506,Chùa Phi Lai,,10.965724,106.849854,,
ho chi minh city_stop_8980118511,Bệnh viện Quân y 7B,,10.966347,106.852497,,
ho chi minh city_stop_8980118512,Ngã tư Tân Phong,,10.967592,106.853967,,
ho chi minh city_stop_8980118514,Cầu Đồng Khởi,,10.972153,106.852918,,
ho chi minh city_stop_8985136209,Trường Mầm non Đom Đóm Trảng Dài,,10.975103,106.854581,,
ho chi minh city_stop_8985136204,Công an Phường Trảng Dài,,10.980847,106.855964,,
ho chi minh city_stop_11309193597,Công ty TNHH MJ Apparel,,10.983569,106.857904,,
ho chi minh city_stop_8985136202,Văn phòng Địa ốc Minh Duy,,10.985896,106.857320,,
ho chi minh city_stop_8985136200,Trường Mầm non Minh Anh,,10.988611,106.857461,,
ho chi minh city_stop_8985136199,Ngã ba Năm Thưởng,,10.991852,106.858258,,
ho chi minh city_stop_8985136195,UBND Phường Trảng Dài,,10.992204,106.862758,,
ho chi minh city_stop_8985136190,Trường Tiểu học Trảng Dài,,10.991961,106.865247,,
ho chi minh city_stop_8985136187,Trường Trung học Cơ sở Trường Sa,,10.986410,106.867281,,
ho chi minh city_stop_8977118685,Công viên Lam Sơn,,10.907947,106.847925,,
ho chi minh city_stop_8979998708,Trường Tiểu học Nguyễn Du,,10.944703,106.819638,,
ho chi minh city_stop_9126724470,Điện lực Thống Nhất,,10.967122,106.887554,,
ho chi minh city_stop_8983652230,Nhà sách Đồng Nai,,10.968406,106.889256,,
ho chi minh city_stop_8983652224,Giáo xứ Đại Lộ,,10.972107,106.889944,,
ho chi minh city_stop_8983652222,Giáo xứ Trung Nghĩa,,10.972630,106.886601,,
ho chi minh city_stop_8983652220,Đền thánh Vicente Bắc Hải,,10.972609,106.882931,,
ho chi minh city_stop_8983652217,Trường Mầm non Dân lập Đoàn Kết,,10.972591,106.880970,,
ho chi minh city_stop_8983649016,Giáo xứ Phù Tảo,,10.972249,106.877003,,
ho chi minh city_stop_8983649014,Cầu Săn Máu,,10.971571,106.868829,,
ho chi minh city_stop_8983649012,Bệnh viện Đa khoa Tâm Hồng Phước,,10.970164,106.866800,,
ho chi minh city_stop_8983649008,Công ty cổ phần công trình giao thông Đồng Nai,,10.968565,106.860920,,
ho chi minh city_stop_8983649006,Công ty Điện lực Đồng Nai,,10.967210,106.855260,,
ho chi minh city_stop_8981741316,Di tích Nhà lao Tân Hiệp,,10.964238,106.842767,,
ho chi minh city_stop_8981741314,Chợ Tân Phong,,10.963258,106.838505,,
ho chi minh city_stop_8981741312,Đội Cảnh sát Giao thông Thành phố Biên Hòa,,10.961868,106.834708,,
ho chi minh city_stop_8981741310,Bảo tàng Đồng Nai,,10.958578,106.830820,,
ho chi minh city_stop_8982859890,Công an Thành phố Biên Hòa,,10.956181,106.823630,,
ho chi minh city_stop_8982859889,Ngã tư Phan Đình Phùng,,10.956159,106.818832,,
ho chi minh city_stop_8982859887,Hội thánh Tin lành Việt Nam,,10.954265,106.817937,,
ho chi minh city_stop_8982859885,Nhà may Xuân,,10.952476,106.818132,,
ho chi minh city_stop_8981741285,Công viên Thanh Bình,,10.947822,106.815886,,
ho chi minh city_stop_8981741289,Sở Tài chính Đồng Nai,,10.949666,106.813415,,
ho chi minh city_stop_8981741291,Trường Mầm non Quang Vinh,,10.951143,106.812118,,
ho chi minh city_stop_8981741293,Ngã ba Hồ Văn Đại,,10.952109,106.810964,,
ho chi minh city_stop_8992080817,Vòng xoay Cầu Hóa An,,10.940751,106.803916,,
ho chi minh city_stop_8984629300,Ngã tư Hoàng Minh Chánh,,10.937272,106.804298,,
ho chi minh city_stop_8992071315,Ngân hàng Agribank,,10.939350,106.804014,,
ho chi minh city_stop_8992071313,Uỷ ban Nhân dân Phường Hóa An,,10.935714,106.804522,,
ho chi minh city_stop_8984629295,Công ty Poucheng,,10.932861,106.804944,,
ho chi minh city_stop_8984629298,Chung cư Hóa An,,10.929744,106.805380,,
ho chi minh city_stop_8992071311,Vòng xoay Hóa An,,10.926781,106.805774,,
ho chi minh city_stop_8981741295,Ngã tư Cầu Hóa An,,10.952574,106.808632,,
ho chi minh city_stop_8983649010,Trại tạm giam Công an Tỉnh Đồng Nai,,10.968877,106.863500,,
ho chi minh city_stop_11874238081,Nhà Thiếu nhi Tỉnh Đồng Nai,,10.946571,106.817582,,
ho chi minh city_stop_8989603541,Công ty Samwoo VN,,10.736144,106.938748,,
