trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,pickup_type,drop_off_type
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8987507260,55,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8989603527,56,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8989603529,57,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8989603533,58,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8987507266,59,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8987507267,60,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8987507271,61,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8989603521,62,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8989603523,63,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8989603531,64,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8989603535,65,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8989603538,66,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8989603540,67,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_9660014340,68,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8987507269,69,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8987356912,70,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8987356902,71,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8987507273,72,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8987385228,73,0.0,0,0
