"",Unnamed: 0,power,make_model,fuel,Company Names
144,180,12.0,Yamaha NMAX,Gasoline,Yamaha
1681,2095,12.0,Kreidler Insignio 250,Gasoline,Kreidler
2611,3223,12.0,Piaggio Liberty 150,Gasoline,Piaggio
2895,3597,12.0,Arctic Cat Alterra,Gasoline,Arctic
57,75,12.0,Honda SH 150,Gasoline,Honda
24891,31163,12.0,Honda CRE 125,Two Stroke Gasoline,Honda
16450,20506,12.0,Bullit Hunt S,Gasoline,Bullit
8213,10223,12.0,MZ ES 250,Gasoline,MZ
3980,4958,11.0,Piaggio Sprint,Gasoline,Piaggio
3758,4687,11.0,SYM Fiddle 125,Gasoline,SYM
