stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
hanoi_stop_8751624831,109 Ô Chợ Dừa,,21.019744,105.827183,,
hanoi_stop_446044133,253 Xã Đàn,,21.016972,105.830990,,
hanoi_stop_8349461377,165 Xã Đàn,,21.014578,105.833501,,
hanoi_stop_8349461376,208A ngõ Xã Đàn 2,,21.012943,105.832588,,
hanoi_stop_8349461378,Trung tâm Văn hoá-Thể thao quận Đống Đa,,21.008938,105.831542,,
hanoi_stop_8205232237,39 Đông Tác,,21.005931,105.834434,,
hanoi_stop_8751624832,3C5 Lương Định Của,,21.004619,105.835631,,
hanoi_stop_738814010,Bệnh viện Da liễu Trung ương,,21.003955,105.838489,,
hanoi_stop_738814494,Bệnh viện Bạch Mai (cột sau),,21.001038,105.841122,,
hanoi_stop_8751624833,144-146 Phố Vọng,,20.996136,105.842802,,
hanoi_stop_8751624834,101 Nguyễn An Ninh,,20.991546,105.844354,,
hanoi_stop_8751624835,15 Nguyễn An Ninh,,20.988729,105.846518,,
hanoi_stop_8751624836,468 Trương Định,,20.985411,105.846337,,
hanoi_stop_7169064143,79 Kim Đồng,,20.983836,105.844226,,
hanoi_stop_738814324,Đối diện Bến xe Giáp Bát - Giải Phóng (cột trước),,20.979661,105.840843,,
hanoi_stop_738813337,Ga Giáp Bát - Đối diện 1035 Giải Phóng,,20.976318,105.840770,,
hanoi_stop_4421384524,Đối diện 1251 Giải Phóng,,20.971809,105.840795,,
hanoi_stop_8751624837,Qua cầu Trần Thủ Độ,,20.949141,105.848245,,
hanoi_stop_8751624838,Đối diện Nhà văn hóa Thanh Trì,,20.944677,105.845925,,
hanoi_stop_8751624839,Đối diện Nhà thi đấu Trung tâm Thể dục thể thao Thanh Trì,,20.941416,105.847213,,
hanoi_stop_8751624840,Trước lối vào Nhà văn hóa Z719 30m,,20.936231,105.848437,,
hanoi_stop_8751624841,Khu 4 block chung cư Đường Quang Lai (chiều đi),,20.932049,105.850934,,
hanoi_stop_8751624842,Cty CP Vinafut - đường Vũ Lăng,,20.930753,105.855370,,
hanoi_stop_8751624844,Đối diện Cty CP Vinafut - đường Vũ Lăng,,20.930595,105.855930,,
hanoi_stop_8751624845,Khu 4 block chung cư Đường Quang Lai (chiều về),,20.932326,105.850878,,
hanoi_stop_8751624846,Trước đối diện lối vào Nhà văn hóa Z719 30m,,20.935529,105.848957,,
hanoi_stop_8751624847,Nhà thi đấu Trung tâm Thể dục thể thao Thanh Trì,,20.941321,105.847399,,
hanoi_stop_8751624848,Nhà văn hóa Thanh Trì,,20.944401,105.846193,,
hanoi_stop_8751624849,Gần cầu Trần Thủ Độ,,20.949072,105.848599,,
hanoi_stop_1755811863,Đối diện trụ sở Công an phường Hoàng Liệt - 1277 Giải Phóng,,20.971131,105.841270,,
hanoi_stop_11968782795,Bến xe Giáp Bát,,20.980059,105.841541,,
hanoi_stop_4405443689,Số 36 Kim Đồng,,20.983511,105.844395,,
hanoi_stop_8751624850,Trung tâm thương mại Trương Định,,20.984865,105.846343,,
hanoi_stop_8751624851,22 Nguyễn An Ninh,,20.988800,105.846427,,
hanoi_stop_8751624852,134 Nguyễn An Ninh,,20.992201,105.844051,,
hanoi_stop_8895558476,Tập thể A10 - 128C Đại La,,20.997411,105.843861,,
hanoi_stop_738813681,175-177 Giải Phóng (Ngã 3 Lê Thanh Nghị),,21.001173,105.841486,,
hanoi_stop_738813975,109 Phạm Ngọc Thạch,,21.007840,105.833065,,
hanoi_stop_8349461379,101 Đặng Văn Ngữ,,21.008204,105.832229,,
hanoi_stop_8349461380,106D1 Đặng Văn Ngữ,,21.011715,105.831627,,
hanoi_stop_446044131,398 Xã Đàn,,21.015117,105.833549,,
hanoi_stop_8751624854,490 Xã Đàn,,21.017065,105.831426,,
hanoi_stop_8751624855,94 Ô Chợ Dừa,,21.020298,105.826919,,
hanoi_stop_8751624856,Đối diện Học viện Âm nhạc Quốc gia Việt Nam,,21.022944,105.826844,,
hanoi_stop_8751624857,188 Hào Nam,,21.027492,105.827694,,
hanoi_stop_8236303286,Điểm xén hè (Toà nhà CT2 - KĐT Bắc Linh Đàm) - Cầu Dậu,,20.970505,105.826315,,
hanoi_stop_738814333,Đối diện cổng phụ Bệnh viện đa khoa y học cổ truyền,,20.972846,105.824800,,
hanoi_stop_8236303325,Đối diện trường Tiểu học - Trung học cơ sở Đại Kim,,20.978634,105.822314,,
hanoi_stop_738813734,Đối diện 222 Kim Giang,,20.979544,105.820171,,
hanoi_stop_738813591,Đối diện 32 Kim Giang,,20.985512,105.813922,,
hanoi_stop_738813332,Đối diện 272 Khương Đình,,20.991381,105.813450,,
hanoi_stop_8236289508,Đối diện 134 Khương Đình,,20.994752,105.814443,,
hanoi_stop_738813733,Chợ Thượng Đình - 224 Nguyễn Trãi,,20.997752,105.811959,,
hanoi_stop_7617390955,Trường tiểu học Trung Yên - đường Nguyễn Chánh,,21.010804,105.793427,,
hanoi_stop_8236303241,54 Mạc Thái Tông,,21.013734,105.795069,,
hanoi_stop_8236289492,Đối diện Đại học Phương Đông - 102 Trung Kính,,21.016556,105.794278,,
hanoi_stop_8236289502,Trước trường Trung học cơ sở Yên Hòa 30m - Trung Kính,,21.022079,105.790923,,
hanoi_stop_8236303281,Qua đối diện Viện Huyết học và truyền máu Trung ương 20m - Phạm Văn Bạch,,21.025516,105.788848,,
hanoi_stop_8236303297,Sân bóng Đồng Bông - Tôn Thất Thuyết (gần ĐH FPT),,21.028112,105.784664,,
hanoi_stop_8236303305,Trường ĐH FPT - đường Tôn Thất Thuyết,,21.028534,105.781978,,
hanoi_stop_8236303317,Cục Đăng Kiểm Việt Nam - đường Nguyễn Hoàng,,21.029110,105.778131,,
hanoi_stop_8237141705,36 Nguyễn Hoàng,,21.030919,105.774755,,
hanoi_stop_8237141707,Vịnh xén hè xe buýt trước tòa nhà Sun Square - đường Nguyễn Hoàng,,21.033376,105.770533,,
hanoi_stop_8237141695,4 Hàm Nghi,,21.034370,105.766863,,
hanoi_stop_6832637185,Đối diện UBND phường Từ Liêm,,21.040153,105.766473,,
hanoi_stop_11515658236,Ga Cầu Diễn,,21.041468,105.762764,,
hanoi_stop_8925798721,Đối diện Vietcombank - Chung cư A1,,21.036190,105.766682,,
