,Company Names,Cars Names,Engines,CC/Battery Capacity,HorsePower,Total Speed,Performance(0 - 100 )KM/H,Cars Prices,Fuel Types,Seats,Torque,Score
210,TOYOTA,VENZA,I4,2494,219,200,7.5,"$33,400",Hybrid,5,400,
211,TOYOTA,HIGHLANDER HYBRID,V6,3456,240,220,8.2,"$40,400",Hybrid,7,350,
212,TOYOTA,LAND CRUISER PRADO,V6,3956,282,200,7.2,"$49,400",Petrol/Diesel,7,450,
213,TOYOTA,TUNDRA HYBRID,V6,3456,344,220,6.2,"$43,400",Hybrid,5,650,
214,TOYOTA,YARIS,I4,1496,106,180,11.2,"$18,400",Petrol,5,150,
215,TOYOTA,C-HR,I4,1986,144,200,10.2,"$24,400",Petrol/Hybrid,5,250,
216,TOYOTA,BZ4X,ELECTRIC,64.8,218,200,7.5,"$43,400",Electric,5,330,
217,TOYOTA,CROWN,HYBRID,2494,236,200,7.6,"$38,400",Hybrid,5,400,
218,TOYOTA,MR2,I4,1986,168,200,6.9,"$29,000",Petrol,2,400,
219,TOYOTA,CELICA,I4,1986,140,200,8.5,"$25,000",Petrol,5,250,
220,HONDA,CITY,I4,1497,119,180,10.2,"$15,400",Petrol/Hybrid,5,145,
221,HONDA,CIVIC,I4,1996,158,200,8.5,"$20,400",Petrol,5,400,
222,HYUNDAI,I10,"1.2L,4-CYLINDER,INLINE-4(I4)",1197,87,160,12.2,"$12,400",Petrol,5,120,
223,HYUNDAI,I20,"1.4L,4-CYLINDER,INLINE-4(I4)",1396,99,180,10.5,"$15,400",Petrol/Hybrid,5,250,
224,HYUNDAI,ELANTRA,"2.0L,4-CYLINDER,INLINE-4(I4)",1999,147,200,9.5,"$18,400",Petrol/Hybrid,5,250,
225,MAHINDRA,XUV500,"2.2L,4-CYLINDER,INLINE-4(I4)",2179,155,180,10.5,"$18,400",Diesel,7,400,
226,MAHINDRA,SCORPIO,"2.2L,4-CYLINDER,INLINE-4(I4)",2179,140,160,11.2,"$16,400",Diesel,7,280,
227,MAHINDRA,THAR,"2.0L,4-CYLINDER,INLINE-4(I4)",1997,150,180,10.5,"$20,400",Petrol/Diesel,4,320,
228,MARUTI SUZUKI,SWIFT,"1.2L,4-CYLINDER,INLINE-4(I4)",1197,83,160,12.2,"$10,400",Petrol,5,113,
229,MARUTI SUZUKI,DZIRE,"1.2L,4-CYLINDER,INLINE-4(I4)",1197,83,160,12.2,"$11,400",Petrol/Diesel,5,113,
230,MARUTI SUZUKI,BREZZA,"1.5L,4-CYLINDER,INLINE(I4)",1462,103,180,11.5,"$14,400",Petrol,5,200,
231,TOYOTA,PRIUS PRIME,"2.0L,4-CYLINDER,WITH HYBRID SYSTEM",1998,220,180,6.7,"$31,100",Plug-in Hybrid,5,220,
232,TOYOTA,GR COROLLA,"1.6L,TURBOCHARGED INLINE-3",1618,300,230,5,"$36,995",Petrol,5,370,
233,TOYOTA,LAND CRUISER 300,"3.3L,V6,TWIN TURBO DIESEL",3346,305,210,6.8,"$58,500",Petrol/Diesel,7,650,0.5
234,TOYOTA,TUNDRA I-FORCE MAX,"3.5L,V6,HYBRID TWIN-TURBO",3445,437,180,6.2,"$56,000",Hybrid,5,750,
235,TOYOTA,COROLLA HATCHBACK XSE,"2.0L,INLINE-4",1987,169,190,8.2,"$25,390",Petrol,5,250,
236,TOYOTA,MIRAI,"HYDROGEN FUEL CELL,ELECTRIC MOTOR",1.24,152,180,9,"$49,500",Hydrogen,5,335,
237,TOYOTA,HILUX GR SPORT,"2.8L,TURBO,DIESEL",2755,224,170,10,"$50,000",Petrol/Diesel,5,500,
